base_name,title,role,chunks,articles,title_year,version_score,version_source,evidence,fingerprint,doc_id
中华人民共和国食品安全法,中华人民共和国食品安全法(2021修正),superseded,186,154,2021,20210429,title=2021,新版覆盖其 100% 条文且版本更旧（20210429 < 20250912）；逐条比对 154 条中有 4 条实质差异,dbef18a80180,e921e34c-8d3c-431b-b5ff-80d62fa6a12a
中华人民共和国道路交通安全法,中华人民共和国道路交通安全法,current,138,124,,20210429,doc_date=2021年4月29日,组内最高版本（doc_date=2021年4月29日）,30c756ae015a,c390988e-2ddd-4998-97ef-2c586c256a5c
中华人民共和国道路交通安全法,中华人民共和国道路交通安全法(2021修正) ,duplicate,138,124,2021,20210429,title=2021,与 中华人民共和国道路交通安全法 重复入库：逐条正文比对：124 条全部一致（差异仅在【罪名】标题或切分粒度）,09206c9bafb4,8c4bc83a-70a0-47e2-8c0d-08fb3f3a6fde
中华人民共和国道路交通安全法,中华人民共和国道路交通安全法(2021修正),superseded,94,18,2021,20210000,title=2021,新版覆盖其 100% 条文且版本更旧（20210000 < 20210429）；逐条比对 18 条中有 6 条实质差异,af5da67c8ec4,328ee3ab-a3cf-406f-97b7-30d3be9c33bc
中华人民共和国立法法,中华人民共和国立法法,current,130,120,,20230313,doc_date=2023年3月13日,组内最高版本（doc_date=2023年3月13日）,c9935eb5b289,a50f50b3-990e-4d3e-84e6-259bd28d62d6
中华人民共和国立法法,中华人民共和国立法法(2023修正) ,duplicate,130,120,2023,20230313,title=2023,与 中华人民共和国立法法 重复入库：逐条正文比对：120 条全部一致（差异仅在【罪名】标题或切分粒度）,8ed837ce21a2,05634ac3-49f5-427c-856a-6d319061d597
中华人民共和国立法法,中华人民共和国立法法(2023修正),superseded,96,14,2023,20230000,title=2023,新版覆盖其 100% 条文且版本更旧（20230000 < 20230313）；逐条比对 14 条中有 4 条实质差异,14696de31260,6c308602-6aa9-4930-b9c0-47f2998085ed
中华人民共和国治安管理处罚法,中华人民共和国治安管理处罚法,current,157,144,,20250627,doc_date=2025年6月27日,组内最高版本（doc_date=2025年6月27日）,eacc79fc78fe,c33d1780-84b5-48c3-8f23-178abcdc988c
中华人民共和国治安管理处罚法,中华人民共和国治安管理处罚法(2025修订),duplicate,157,144,2025,20250101,title=2025,与 中华人民共和国治安管理处罚法 重复入库：逐条正文比对：144 条全部一致（差异仅在【罪名】标题或切分粒度）,9189317db764,1582268b-df42-4ad9-9942-513451f19dc0
中华人民共和国行政复议法,中华人民共和国行政复议法,current,111,90,,20230901,doc_date=2023年9月1日,组内最高版本（doc_date=2023年9月1日）,19867d85d2e3,1bb8e459-3328-45cb-8ecc-cf1f9d27c4ef
中华人民共和国行政复议法,中华人民共和国行政复议法(2023修订) ,duplicate,112,90,2023,20230101,title=2023,与 中华人民共和国行政复议法 重复入库：逐条正文比对：90 条全部一致（差异仅在【罪名】标题或切分粒度）,47a21cf67a97,51f592ee-66a5-40f5-a177-8fcbf696d7f3
中华人民共和国行政复议法,中华人民共和国行政复议法(2023修订),superseded,83,10,2023,20230000,title=2023,新版覆盖其 100% 条文且版本更旧（20230000 < 20230901）；逐条比对 10 条中有 8 条实质差异,19f776bc911a,1d44981f-f63e-4314-8363-a3c1091f1b75
中华人民共和国合伙企业法,中华人民共和国合伙企业法,current,121,109,,20060827,doc_date=2006年8月27日,组内最高版本（doc_date=2006年8月27日）,3c52808a1532,8874296a-fc7a-400a-9221-bd44226ccff0
中华人民共和国合伙企业法,中华人民共和国合伙企业法(2006修订),duplicate,121,109,2006,20060601,title=2006,与 中华人民共和国合伙企业法 重复入库：逐条正文比对：109 条全部一致（差异仅在【罪名】标题或切分粒度）,63898c3b096e,4b3311d0-47cd-4808-aea1-3947f27c071b
中华人民共和国公务员法,中华人民共和国公务员法,current,120,113,,20181229,doc_date=2018年12月29日,组内最高版本（doc_date=2018年12月29日）,294d1c0e37dd,10e5c84e-42f1-4263-a42a-69366d10a074
中华人民共和国公务员法,中华人民共和国公务员法(2018修订),duplicate,121,113,2018,20180601,title=2018,与 中华人民共和国公务员法 重复入库：逐条正文比对：113 条全部一致（差异仅在【罪名】标题或切分粒度）,5e251aa3ccce,c78491ac-0f6c-447a-b9ba-e77a3001a06f
中华人民共和国监察法,中华人民共和国监察法,current,82,78,,20241225,doc_date=2024年12月25日,组内最高版本（doc_date=2024年12月25日）,0fe7f802437d,29202504-17ba-43db-9143-169d5b50e04a
中华人民共和国监察法,中华人民共和国监察法(2024修正) ,duplicate,82,78,2024,20241225,title=2024,与 中华人民共和国监察法 重复入库：逐条正文比对：78 条全部一致（差异仅在【罪名】标题或切分粒度）,a467d664b778,5cb768ea-82fc-4fd4-bf98-5532248cfa62
中华人民共和国监察法,中华人民共和国监察法(2024修正),superseded,72,3,2024,20240000,title=2024,新版覆盖其 100% 条文且版本更旧（20240000 < 20241225）；逐条比对 3 条中有 3 条实质差异,daebf977596e,4bc618a2-90f2-4c2e-a9c6-8204450ada08
中华人民共和国票据法,中华人民共和国票据法,current,118,110,,20040828,doc_date=2004年8月28日,组内最高版本（doc_date=2004年8月28日）,012e1c469177,dd945ac3-50ce-46b8-8f0d-ed01bd893d7f
中华人民共和国票据法,中华人民共和国票据法(2004修正),duplicate,118,110,2004,20040828,title=2004,与 中华人民共和国票据法 重复入库：逐条正文比对：110 条全部一致（差异仅在【罪名】标题或切分粒度）,18ef28f28735,7a5c6a5e-8e56-4304-bcc9-78885cc31ebc
中华人民共和国劳动法,中华人民共和国劳动法,current,117,107,,20181229,doc_date=2018年12月29日,组内最高版本（doc_date=2018年12月29日）,9beb2c4a1e2d,efb1c003-879e-466c-a779-37f231596a99
中华人民共和国劳动法,中华人民共和国劳动法(2018修正),duplicate,117,107,2018,20181229,title=2018,与 中华人民共和国劳动法 重复入库：逐条正文比对：107 条全部一致（差异仅在【罪名】标题或切分粒度）,bf8fc09e7cdc,892ad65d-c271-4a2c-b385-d57193b9c7ac
中华人民共和国商标法,中华人民共和国商标法,current,113,73,,20190423,doc_date=2019年4月23日,组内最高版本（doc_date=2019年4月23日）,3f37c0733fbc,f7fd6e0a-e0ac-4568-9efe-d78d786d0650
中华人民共和国商标法,中华人民共和国商标法(2019修正),duplicate,113,73,2019,20190423,title=2019,与 中华人民共和国商标法 重复入库：逐条正文比对：73 条全部一致（差异仅在【罪名】标题或切分粒度）,52f585dd843e,1884208a-d40a-4beb-961e-0865979985da
中华人民共和国行政处罚法,中华人民共和国行政处罚法(2021修订),current,103,86,2021,20210715,title=2021,组内最高版本（title=2021）,29e3832ea6d6,d6e99684-efc6-4c09-92a8-09f4c220159e
中华人民共和国行政处罚法,中华人民共和国行政处罚法,duplicate,103,86,,20210122,doc_date=2021年1月22日,与 中华人民共和国行政处罚法(2021修订) 重复入库：逐条正文比对：86 条全部一致（差异仅在【罪名】标题或切分粒度）,07a7267a7167,d7e35972-d9e1-48a0-ad12-1075fa71689f
中华人民共和国社会保险法,中华人民共和国社会保险法,current,100,98,,20181229,doc_date=2018年12月29日,组内最高版本（doc_date=2018年12月29日）,10731112708a,f7fe0ea5-6b04-4cd2-91c9-e453859a56d4
中华人民共和国社会保险法,中华人民共和国社会保险法(2018修正),ambiguous,100,98,2018,20181229,title=2018,无法自动定序（版本 20181229 vs 20181229，条文覆盖 100%）；逐条比对 98 条中有 2 条实质差异，需人工确认,f90385e70469,573c1119-f7b6-4d46-b30b-fc2a9231417f
中华人民共和国行政许可法,中华人民共和国行政许可法,current,98,83,,20190423,doc_date=2019年4月23日,组内最高版本（doc_date=2019年4月23日）,c4a6cebe5939,8a7f19d1-ced0-47ae-be78-9a5d7a459aa0
中华人民共和国行政许可法,中华人民共和国行政许可法(2019修正),duplicate,98,83,2019,20190423,title=2019,与 中华人民共和国行政许可法 重复入库：逐条正文比对：83 条全部一致（差异仅在【罪名】标题或切分粒度）,ee1d76c12c47,ce6de6d5-2d66-4384-ac7e-aec92c86b21a
中华人民共和国专利法,中华人民共和国专利法,current,89,82,,20201017,doc_date=2020年10月17日,组内最高版本（doc_date=2020年10月17日）,e7686b72b607,014e1534-4794-4969-893a-75148650a64b
中华人民共和国专利法,中华人民共和国专利法(2020修正),duplicate,89,82,2020,20201017,title=2020,与 中华人民共和国专利法 重复入库：逐条正文比对：82 条全部一致（差异仅在【罪名】标题或切分粒度）,02984481d4c2,43a3f158-80b7-4e92-9706-b917a998c3dd
中华人民共和国著作权法,中华人民共和国著作权法,current,86,67,,20201111,doc_date=2020年11月11日,组内最高版本（doc_date=2020年11月11日）,50a3638840a7,ceb58d97-e4db-4d4d-bca8-996ce736f210
中华人民共和国著作权法,中华人民共和国著作权法(2020修正),ambiguous,86,67,2020,20201111,title=2020,无法自动定序（版本 20201111 vs 20201111，条文覆盖 100%）；逐条比对 67 条中有 1 条实质差异，需人工确认,553bc01cef4f,1b05b0d9-928a-4f07-a0db-22b0834c06ec
中华人民共和国宪法修正案,中华人民共和国宪法修正案(2018),keep,51,46,2018,20180311,title=2018,修正案/司法解释系列：各年份文件独立有效（白名单，不处置）,1deee90169fb,c2773b12-b044-4a4c-be63-5e1c0c9c3f67
中华人民共和国宪法修正案,中华人民共和国宪法修正案（2018年）,keep,51,46,2018,20180311,title=2018,修正案/司法解释系列：各年份文件独立有效（白名单，不处置）,abf18036eeff,ecef6b83-f286-49a3-8754-21c297749433
中华人民共和国宪法修正案,中华人民共和国宪法修正案（2004年）,keep,28,26,2004,20040314,title=2004,修正案/司法解释系列：各年份文件独立有效（白名单，不处置）,ee2b9f548ee2,1da17f6f-82b1-45f1-8ba8-d97a5be5d8ca
中华人民共和国宪法修正案,中华人民共和国宪法修正案（1999年）,keep,13,11,1999,19990315,title=1999,修正案/司法解释系列：各年份文件独立有效（白名单，不处置）,62e9010dc26e,e0af99ad-fc8a-4ee7-b973-d7978a8ddbf7
中华人民共和国宪法修正案,中华人民共和国宪法修正案（1993年）,keep,17,14,1993,19930329,title=1993,修正案/司法解释系列：各年份文件独立有效（白名单，不处置）,b662fafcc44a,3ca1a074-2640-4bed-87bb-17da4b9b08cb
中华人民共和国宪法修正案,中华人民共和国宪法修正案（1988年）,keep,5,4,1988,19880412,title=1988,修正案/司法解释系列：各年份文件独立有效（白名单，不处置）,46b1f2c0b511,358b280d-62e9-4c41-a7e9-f557864b6099
中华人民共和国反不正当竞争法,中华人民共和国反不正当竞争法(2025修订),current,56,41,2025,20251015,title=2025,组内最高版本（title=2025）,d2bfac7277df,6ba4b55f-6fce-4704-8b0b-63bde19d8fe6
中华人民共和国反不正当竞争法,中华人民共和国反不正当竞争法,duplicate,56,41,,20250627,doc_date=2025年6月27日,与 中华人民共和国反不正当竞争法(2025修订) 重复入库：逐条正文比对：41 条全部一致（差异仅在【罪名】标题或切分粒度）,341b5ad4bc60,704af4b0-f3f2-4c39-b640-7e54ef9a8213
中华人民共和国全国人民代表大会组织法,中华人民共和国全国人民代表大会组织法,current,51,49,,20210311,doc_date=2021年3月11日,组内最高版本（doc_date=2021年3月11日）,f9b3064c1067,9903c65a-1204-475a-a5b7-91614cb3a799
中华人民共和国全国人民代表大会组织法,中华人民共和国全国人民代表大会组织法(2021修正),duplicate,51,49,2021,20210311,title=2021,与 中华人民共和国全国人民代表大会组织法 重复入库：逐条正文比对：49 条全部一致（差异仅在【罪名】标题或切分粒度）,125a80b57bca,dca70be2-4bbc-4d9a-9a47-95fd99e259e8
中华人民共和国国务院组织法,中华人民共和国国务院组织法,current,21,20,,20240311,doc_date=2024年3月11日,组内最高版本（doc_date=2024年3月11日）,4489a3a0eb48,9ca3663a-dbf5-4ebe-9d9b-95ccd4610131
中华人民共和国国务院组织法,中华人民共和国国务院组织法(2024修订),duplicate,21,20,2024,20240311,title=2024,与 中华人民共和国国务院组织法 重复入库：逐条正文比对：20 条全部一致（差异仅在【罪名】标题或切分粒度）,384fb4a39a56,55cebd31-8f34-4c20-90d7-ebccd68457ae
