============================================================================
评测时间: 2026-08-30 15:52:59 | 配置: BM25
查询数: 148 | 总耗时: 27.4s | 平均: 0.19s/查询
----------------------------------------------------------------------------
指标        BM25 单路     
Hit@1     18.9%       
  #l-行政处罚法-五十七-colloq 罚我钱的那张单子上必须写清楚哪些内容？
  #l-关税法-五十五-colloq 报关行报错导致少缴税，我要连带补税吗？
  #l-社会保险法-五十一-colloq 找到新工作后，失业金还能继续领吗？
  #l-专利法-三十-colloq 我上次申请过专利，这回再申请要提前办啥手续？
  #l-行政复议法实-三十一-colloq 申请公开政府信息被拒绝了，可以申请行政复议吗？
  #l-行政复议法-三十四-colloq 复议不受理或者不答复，多久内可以去法院告？
  #l-国家安全法-三-colloq 国家安全工作最看重的是保护老百姓吗？
  #l-邮政法-四-colloq 快递服务出问题该找谁投诉管用？
  #l-公路法-七十五-colloq 违章处罚是不是都归交通部门管？
  #l-个人信息保护-二十九-colloq 查我病历前得先单独征求我同意吧？
  #l-政府采购法实-七十二-colloq 中标以后还没签合同，发现有人违规，能换中标的人吗？
  #l-股票发行与交-六十五-colloq 没在交易所交易的公开发行股票公司，违规了要处罚吗？
  #l-民用机场管理-四十四-colloq 机场给飞机加油的设备，是不是得公平让所有油料公司用？
  #l-农产品质量安-三-colloq 卖自己种的菜出了问题，要按哪个法律算？
  #l-电力法-三十-colloq 抢险救灾急需用电，供电公司有义务马上供电吗？
  #l-对外贸易法-二十五-colloq 进口商品的原产地到底怎么确定？
  #l-建筑法-六十三-colloq 盖的楼有质量问题该找谁举报？
  #l-民营经济促进-三十三-colloq 我公司的新技术被抄袭了，能要惩罚性赔偿吗？
  #l-出境入境管理-二十五-colloq 老外什么情况下会被拦下来不让进中国？
  #l-出版管理条例-六十一-colloq 我没有许可证就帮人印书，会被抓吗？
  #l-电信条例-三十五-colloq 电信公司修网络断网了没提前通知，能要赔偿吗？
  #l-行政许可法-四十七-colloq 办证影响别人的权益，政府必须通知他们可以要求听证吗？
  #l-麻醉药品和精-四十三-colloq 医院自己配的制剂能拿去卖吗？
  #l-行政许可法-八-colloq 我已经拿到的许可，政府能随便变卦吗？如果变卦了要赔钱吗？
  #l-学前教育法-四十九-colloq 幼儿园老师的培训是政府负责安排吗？
